instituicao,nacionalidade,setor,n_pessoas,entrada,saida
UFPI,Brasil,Geologia,42,01/07/2016,
UFPE,Brasil,Geologia,6,13/07/2016,26/07/2016
BR,Brasil,Geologia,2,13/07/2016,26/07/2016
UT,EUA,Geologia,1,13/07/2016,26/07/2016
BR,Brasil,Geologia,1,01/08/2016,10/08/2016
UERJ,Brasil,Geologia,1,01/08/2016,10/08/2016
UT,EUA,Geologia,1,01/08/2016,10/08/2016
UFPI,Brasil,Geografia,8,28/09/2016,29/09/2016
UFG,Brasil,Geologia,7,,
UFRJ,Brasil,Geologia,1,,
UFC,Brasil,Geologia,4,,
Dresden,Alemanha,,2,,
MFN,Alemanha,,1,,
DNPM,Brasil,Geologia,1,,
UFRGS,Brasil,Geologia,1,,
UFPE,Brasil,Paleontologia,18,,
UFRJ,Brasil,Paleontologia,35,,
